Tipos de Benefícios
CÓDIGO|DESCRIÇÃO DO BENEFÍCIO
Grupo 01 - Aposentadoria por Idade e Tempo de Contribuição|>
0101|Aposentadoria por idade e tempo de contribuição - Proventos com integralidade, revisão pela paridade
0102|Aposentadoria por idade e tempo de contribuição - Proventos pela média, reajuste manter valor real
0103|Aposentadoria por idade - Proventos proporcionais calculado sobre integralidade, revisão pela paridade
0104|Aposentadoria por idade - Proventos proporcionais calculado sobre a média, reajuste manter valor real
0105|Aposentadoria compulsória - Proventos proporcionais calculado sobre integralidade, revisão pela paridade
0106|Aposentadoria compulsória - Proventos proporcionais calculado sobre a média, reajuste manter valor real
0107|Aposentadoria de professor - Proventos com integralidade, revisão pela paridade
0108|Aposentadoria de professor - Proventos pela média, reajuste manter valor real
0109|Aposentadoria de servidor vinculado a RPC - Proventos limitados ao teto do RGPS
Grupo 02 - Aposentadoria Especial|>
0201|Aposentadoria especial - Risco
0202|Aposentadoria especial - Exposição a agentes nocivos
0203|Aposentadoria da pessoa com deficiência
0204|Aposentadoria especial do policial civil
0205|Aposentadoria especial - Risco - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS
0206|Aposentadoria especial - Exposição a agentes nocivos - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS
0207|Aposentadoria da pessoa com deficiência - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS
0208|Aposentadoria especial de policial - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS
Grupo 03 - Aposentadoria por Invalidez/Incapacidade Permanente|>
0301|Aposentadoria por invalidez - Proventos com integralidade, revisão pela paridade
0302|Aposentadoria por invalidez - Proventos pela média, reajuste manter valor real
0303|Aposentadoria por invalidez - Proventos proporcionais calculado sobre integralidade, revisão pela paridade
0304|Aposentadoria por invalidez - Proventos proporcionais calculado sobre a média, reajuste manter valor real
0305|Aposentadoria por invalidez - Servidor vinculado a RPC - Proventos limitados ao teto do RGPS
Grupo 04 - Militares (Reforma)|>
0401|Reforma por invalidez
0402|Reforma
Grupo 05 - Militares (Reserva)|>
0501|Reserva remunerada compulsória
0502|Reserva remunerada integral
0503|Reserva remunerada proporcional
Grupo 06 - Pensão por Morte|>
0601|Pensão por morte (art. 40, § 7º, da CF/1988)
0602|Pensão por morte com paridade, decorrente do art. 6º-A da EC 41/2003
0603|Pensão por morte com paridade, decorrente do art. 3º da EC 47/2005
0604|Pensão por morte militar
Grupo 07 - Complementação do Benefício do Regime Geral de Previdência Social (RGPS)|>
0701|Complementação de aposentadoria do RGPS
0702|Complementação de pensão por morte do RGPS
Grupo 08 - Benefícios Concedidos Antes da Obrigatoriedade de Envio dos Eventos Não Periódicos para Entes Públicos no eSocial (Carga Inicial)|>
0801|Aposentadoria sem paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0802|Aposentadoria com paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0803|Aposentadoria por invalidez com paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0804|Aposentadoria por invalidez sem paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0805|Transferência para reserva concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0806|Reforma concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0807|Pensão por morte com paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0808|Pensão por morte sem paridade concedida antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0809|Outros benefícios previdenciários concedidos antes da obrigatoriedade de envio dos eventos não periódicos para entes públicos no eSocial
0810|Aposentadoria de parlamentar - Plano próprio
0811|Aposentadoria de servidor vinculado ao Poder Legislativo - Plano próprio
0812|Pensão por morte - Plano próprio
Grupo 09 - Benefícios Especiais com Vínculo Previdenciário|>
0901|Benefício especial proporcional - Servidor pertencente a RPPS que opta pelo RPC da União
0902|Benefício especial proporcional - Servidor pertencente a RPPS que opta pelo RPC - Demais entes da Federação, de acordo com as disposições das leis específicas
0909|Outros benefícios especiais com vínculo previdenciário
Grupo 10 - Benefícios Especiais sem Vínculo Previdenciário|>
1001|Pensão especial sem vínculo previdenciário
1009|Outros benefícios sem vínculo previdenciário
Grupo 11 - Parlamentares|>
1101|Aposentadoria voluntária com proventos proporcionais ao tempo de mandato - Leis próprias
1102|Aposentadoria voluntária com proventos integrais ao tempo de mandato - Leis próprias
1103|Aposentadoria por invalidez permanente - Proventos integrais - Leis próprias
1104|Aposentadoria por invalidez permanente - Proventos proporcionais ao tempo de mandato - Leis próprias
1105|Pensão por morte de parlamentar - Lei específica
1106|Pensão por morte de parlamentar - Planos anteriores à EC 20/1998
